#Ficheiros usados: BAP-1.csv, CYLD.csv, UCH-L1.csv, UCH-L3.csv, UCH-L5.csv, USP-1.csv, USP-10.csv, USP-11.csv, USP-13.csv, USP-14.csv, USP-15.csv, USP-16.csv, USP-17.csv, USP-18.csv, USP-19.csv, USP-2.csv, USP-20.csv, USP-21.csv, USP-25.csv, USP-27X.csv, USP-28.csv, USP-30.csv, USP-35.csv, USP-36.csv, USP-4.csv, USP-45.csv, USP-47.csv, USP-5.csv, USP-6.csv, USP-7.csv, USP-9X.csv.
smiles,IC50,pChEMBL,target
Cc1cccc2cc(C(c3nnnn3C(C)(C)C)N3CCN(C(=O)c4ccco4)CC3)c(O)nc12,17282.0,4.76,BAP-1
CCOC(=O)c1c(NC(=O)c2cccs2)sc(C)c1CC,30395.3,4.52,BAP-1
Cc1sc(NC(=O)CSc2nnc(-c3ccc(F)cc3)o2)c(C#N)c1C,10487.3,4.98,BAP-1
CCOC(=O)c1cnc(SCC(=O)Nc2sc(C)c(C)c2C#N)nc1N,18728.9,4.73,BAP-1
COc1ccc(NC(=O)c2c(NC(=O)CNCc3ccco3)sc3c2CCC3)c(OC)c1,35796.2,4.45,BAP-1
CCOC(=O)c1c(NC(=O)CSc2nnc(CNc3ccc(F)cc3)o2)sc(C)c1C,29128.0,4.54,BAP-1
CCc1nc(SCC(=O)Nc2ccc3c(c2)OCCO3)c2oc3ccccc3c2n1,13926.8,4.86,BAP-1
CCOC(=O)c1ccc(NC(=O)CSc2nc(C)cc(O)n2)cc1,23329.7,4.63,BAP-1
O=S(=O)(c1cccc(S(=O)(=O)N2CCC(n3nnc4ccccc43)CC2)c1)N1CCCCC1,18282.8,4.74,BAP-1
Cc1ccc(-c2nc3s/c(=C\c4ccco4)c(=O)n3n2)cc1,22562.5,4.65,BAP-1
O=C(c1ccco1)[C@@H]1[C@@H]2C(=O)N(c3ccccc3)C(=O)[C@@H]2C2c3ccccc3C=CN21,23373.1,4.63,BAP-1
CC1CCCN(S(=O)(=O)c2ccc(NC(=O)Cn3nnc(-c4ccccc4F)n3)cc2)C1,41626.7,4.38,BAP-1
CCOC(=O)c1c(NC(=O)Cn2nnc(-c3ccccc3)n2)sc(C(C)=O)c1C,23100.9,4.64,BAP-1
O=C(CSc1nc2c(c(=O)n1-c1ccc(Cl)cc1)SCC2)Nc1ccc2c(c1)OCCO2,38559.0,4.41,BAP-1
CCCO/C(O)=C1\C(C)=NC2=C(C(=O)CCC2)C1c1cccc(OC)c1OC,33938.6,4.47,BAP-1
